GLOSS,CONCEPTICON_ID
"(he) cries",1839
"the stepdaughter",1058
"to preserve",1997
"to put",998
"the sickle",341
"(its) meat",634
"forefinger",577
"lame person",320
"left hand",2182
"vomit",1278
"wind/air",960
"the hoof",152
"the collarbone",1994
"flat",1633
"(its) fat",323
"the heart",1223
"the sock or stocking",329
"the body hair (hair or fur)",189
"the fog",249
"the scale",266
"cloud",1489
"how?",1239
"fly",1441
"the leaf",628
"today",1283
"the stick",1295
"back",1291
"(its) wing",1257
"few",1242
"to blow",175
"narrow",1267
"flesh/meat",634
"dig",1418
"to vomit",1278
"root",670
"push",1452
"the knee",1371
"One Thousand",1843
"the last year",514
"the hair",1040
"snow",1255
"grandchild",1617
"one time",374
"the chimney",1305
"count",1420
"the grease or fat",323
"the middle",1093
"male(1)",1553
"the wasp",1517
"the thunder",1150
"scratch",1436
"(its) tongue",1205
"smooth",1234
"the firewood",10
"stairs",34
"down",1326
"the mountain or hill",2118
"ant",587
"the heron",758
"the iron",621
"to wipe",1454
"the navel",1838
"to rise",568
"to hit",1433
"to give",1447
"aubergine",1146
"green blue",1425
"to eat",1336
"up",1591
"red",156
"to change",1264
"the hawk",307
"the cape",1662
"the hen",1514
"blind",1653
"the jaw",798
"the lock",1596
"lake",624
"Three",492
"inside",1606
"poor",1674
"to bury",1719
"the bamboo",1927
"sweet",717
"to sit",1416
"the spider",843
"the fish",227
"pig",1337
"hard",1884
"rat",1490
"chopsticks",1987
"(its) root",670
"grass",606
"the child(2)",1801
"the shoemaker",875
"(his) knee",1371
"only",1580
"(he) blows",175
"claw",72
"the bay",663
"pull",1455
"to remain",987
"to knead",274
"window",1375
"the pig",1337
"to drink",1401
"old man",406
"the spring or well",2144
"the reef",660
"the bull",1008
"chicken",1318
"to scratch/scrape",1436
"boy",1366
"to sniff, smell",1586
"noon",2490
"to pile up",1576
"to buy cloth",1869
"the mast",184
"here",136
"the nut",191
"seven",1704
"the pine",1740
"to push",1452
"branch",1531
"stick (stab)",1295
